Sex_Code_Text,Ethnic_Code_Text,Language,LegalStatus,CustodyStatus,MaritalStatus,RecSupervisionLevel,YearOfBirth,Score
Female,African-American,English,Pretrial,Jail Inmate,Single,2,1979,1
Female,African-American,English,Pretrial,Jail Inmate,Single,2,1979,0
Male,African-American,English,Pretrial,Jail Inmate,Married,1,2070,0
Male,African-American,English,Pretrial,Jail Inmate,Married,1,2070,0
Male,African-American,English,Pretrial,Jail Inmate,Married,1,2070,0
Male,Caucasian,English,Pretrial,Jail Inmate,Single,1,1991,0
Male,Caucasian,English,Pretrial,Jail Inmate,Single,1,1991,0
Male,Caucasian,English,Pretrial,Jail Inmate,Single,1,1991,0
Male,Caucasian,English,Pretrial,Jail Inmate,Single,1,1985,0
Male,Caucasian,English,Pretrial,Jail Inmate,Single,1,1985,1
Male,Caucasian,English,Pretrial,Jail Inmate,Single,1,1985,0
Male,Caucasian,English,Post Sentence,Probation,Single,1,1984,0
Male,Caucasian,English,Post Sentence,Probation,Single,1,1984,0
Male,Caucasian,English,Post Sentence,Probation,Single,1,1984,0
Male,African-American,English,Post Sentence,Probation,Single,1,1975,0
Male,African-American,English,Post Sentence,Probation,Single,1,1975,0
Male,African-American,English,Post Sentence,Probation,Single,1,1975,0
Male,African-American,English,Pretrial,Jail Inmate,Married,2,1973,0
Male,African-American,English,Pretrial,Jail Inmate,Married,2,1973,1
Male,African-American,English,Pretrial,Jail Inmate,Married,2,1973,0
Male,Other Race,English,Pretrial,Jail Inmate,Single,4,1988,2
Male,Other Race,English,Pretrial,Jail Inmate,Single,4,1988,2
Male,Other Race,English,Pretrial,Jail Inmate,Single,4,1988,0
Female,Caucasian,English,Pretrial,Jail Inmate,Single,1,1981,0
Female,Caucasian,English,Pretrial,Jail Inmate,Single,1,1981,0
Female,Caucasian,English,Pretrial,Jail Inmate,Single,1,1981,0
Male,Caucasian,English,Pretrial,Jail Inmate,Single,1,1989,0
Male,Caucasian,English,Pretrial,Jail Inmate,Single,1,1989,0
Male,Caucasian,English,Pretrial,Jail Inmate,Single,1,1989,0
Female,African-American,English,Pretrial,Jail Inmate,Single,1,1980,0
Female,African-American,English,Pretrial,Jail Inmate,Single,1,1980,0
Female,African-American,English,Pretrial,Jail Inmate,Single,1,1980,0
Male,African-American,English,Pretrial,Jail Inmate,Single,4,1975,2
Male,African-American,English,Pretrial,Jail Inmate,Single,4,1975,2
Male,African-American,English,Pretrial,Jail Inmate,Single,4,1975,2
Male,Caucasian,English,Post Sentence,Probation,Single,2,1978,0
Male,Caucasian,English,Post Sentence,Probation,Single,2,1978,1
Male,Caucasian,English,Post Sentence,Probation,Single,2,1978,0
Male,African-American,English,Pretrial,Jail Inmate,Single,3,1988,1
Male,African-American,English,Pretrial,Jail Inmate,Single,3,1988,2
Male,African-American,English,Pretrial,Jail Inmate,Single,3,1988,0
Male,Caucasian,English,Post Sentence,Probation,Single,4,1992,2
Male,Caucasian,English,Post Sentence,Probation,Single,4,1992,2
Male,Caucasian,English,Post Sentence,Probation,Single,4,1992,1
Male,African-American,English,Post Sentence,Probation,Single,3,1994,1
Male,African-American,English,Post Sentence,Probation,Single,3,1994,2
Male,African-American,English,Post Sentence,Probation,Single,3,1994,1
Male,African-American,English,Pretrial,Jail Inmate,Single,3,1989,0
Male,African-American,English,Pretrial,Jail Inmate,Single,3,1989,2
Male,African-American,English,Pretrial,Jail Inmate,Single,3,1989,0
Female,Caucasian,English,Pretrial,Jail Inmate,Single,3,2060,0
Female,Caucasian,English,Pretrial,Jail Inmate,Single,3,2060,2
Female,Caucasian,English,Pretrial,Jail Inmate,Single,3,2060,1
Male,African-American,English,Pretrial,Pretrial Defendant,Single,1,2067,0
Male,African-American,English,Pretrial,Pretrial Defendant,Single,1,2067,0
Male,African-American,English,Pretrial,Pretrial Defendant,Single,1,2067,0
Male,Caucasian,English,Pretrial,Residential Program,Married,1,2055,0
Male,Caucasian,English,Pretrial,Residential Program,Married,1,2055,0
Male,Caucasian,English,Pretrial,Residential Program,Married,1,2055,0
Male,Hispanic,English,Pretrial,Jail Inmate,Single,2,1984,1
Male,Hispanic,English,Pretrial,Jail Inmate,Single,2,1984,1
Male,Hispanic,English,Pretrial,Jail Inmate,Single,2,1984,0
Female,Caucasian,English,Pretrial,Jail Inmate,Single,1,1974,0
Female,Caucasian,English,Pretrial,Jail Inmate,Single,1,1974,0
Female,Caucasian,English,Pretrial,Jail Inmate,Single,1,1974,0
Male,African-American,English,Pretrial,Jail Inmate,Single,1,1987,0
Male,African-American,English,Pretrial,Jail Inmate,Single,1,1987,0
Male,African-American,English,Pretrial,Jail Inmate,Single,1,1987,0
Male,African-American,English,Pretrial,Jail Inmate,Single,2,1991,1
Male,African-American,English,Pretrial,Jail Inmate,Single,2,1991,1
Male,African-American,English,Pretrial,Jail Inmate,Single,2,1991,0
Male,Caucasian,English,Post Sentence,Probation,Divorced,1,2043,0
Male,Caucasian,English,Post Sentence,Probation,Divorced,1,2043,0
Male,Caucasian,English,Post Sentence,Probation,Divorced,1,2043,0
Male,Caucasian,English,Post Sentence,Probation,Single,1,1977,0
Male,Caucasian,English,Post Sentence,Probation,Single,1,1977,1
Male,Caucasian,English,Post Sentence,Probation,Single,1,1977,0
Female,African-American,English,Pretrial,Jail Inmate,Single,3,1987,1
Female,African-American,English,Pretrial,Jail Inmate,Single,3,1987,2
Female,African-American,English,Pretrial,Jail Inmate,Single,3,1987,0
Male,African-American,English,Pretrial,Jail Inmate,Single,2,1984,0
Male,African-American,English,Pretrial,Jail Inmate,Single,2,1984,1
Male,African-American,English,Pretrial,Jail Inmate,Single,2,1984,1
Male,African-American,English,Conditional Release,Probation,Single,4,1989,2
Male,African-American,English,Conditional Release,Probation,Single,4,1989,2
Male,African-American,English,Conditional Release,Probation,Single,4,1989,0
Female,African-American,English,Pretrial,Jail Inmate,Single,1,2067,0
Female,African-American,English,Pretrial,Jail Inmate,Single,1,2067,0
Female,African-American,English,Pretrial,Jail Inmate,Single,1,2067,0
Male,Other Race,English,Pretrial,Jail Inmate,Married,1,1983,0
Male,Other Race,English,Pretrial,Jail Inmate,Married,1,1983,0
Male,Other Race,English,Pretrial,Jail Inmate,Married,1,1983,0
Male,Caucasian,English,Pretrial,Pretrial Defendant,Single,1,1977,0
Male,Caucasian,English,Pretrial,Pretrial Defendant,Single,1,1977,0
Male,Caucasian,English,Pretrial,Pretrial Defendant,Single,1,1977,1
Female,African-American,English,Pretrial,Jail Inmate,Single,2,1979,0
Female,African-American,English,Pretrial,Jail Inmate,Single,2,1979,1
Female,African-American,English,Pretrial,Jail Inmate,Single,2,1979,2
Male,Caucasian,English,Pretrial,Jail Inmate,Single,4,1992,2
Male,Caucasian,English,Pretrial,Jail Inmate,Single,4,1992,2
Male,Caucasian,English,Pretrial,Jail Inmate,Single,4,1992,0
Male,African-American,English,Pretrial,Jail Inmate,Single,2,1986,1
Male,African-American,English,Pretrial,Jail Inmate,Single,2,1986,1
Male,African-American,English,Pretrial,Jail Inmate,Single,2,1986,1
Male,African-American,English,Pretrial,Jail Inmate,Divorced,2,1985,0
Male,African-American,English,Pretrial,Jail Inmate,Divorced,2,1985,1
Male,African-American,English,Pretrial,Jail Inmate,Divorced,2,1985,0
Male,African-American,English,Pretrial,Jail Inmate,Single,4,1987,2
Male,African-American,English,Pretrial,Jail Inmate,Single,4,1987,2
Male,African-American,English,Pretrial,Jail Inmate,Single,4,1987,0
Male,Caucasian,English,Post Sentence,Probation,Single,1,2068,0
Male,Caucasian,English,Post Sentence,Probation,Single,1,2068,0
Male,Caucasian,English,Post Sentence,Probation,Single,1,2068,0
Male,African-American,English,Post Sentence,Probation,Single,1,1982,0
Male,African-American,English,Post Sentence,Probation,Single,1,1982,0
Male,African-American,English,Post Sentence,Probation,Single,1,1982,0
Male,African-American,English,Pretrial,Jail Inmate,Single,1,1971,0
Male,African-American,English,Pretrial,Jail Inmate,Single,1,1971,0
Male,African-American,English,Pretrial,Jail Inmate,Single,1,1971,0
Female,Hispanic,English,Pretrial,Jail Inmate,Divorced,1,1978,0
Female,Hispanic,English,Pretrial,Jail Inmate,Divorced,1,1978,0
Female,Hispanic,English,Pretrial,Jail Inmate,Divorced,1,1978,0
Male,African-American,English,Pretrial,Jail Inmate,Married,1,2066,0
Male,African-American,English,Pretrial,Jail Inmate,Married,1,2066,0
Male,African-American,English,Pretrial,Jail Inmate,Married,1,2066,0
Male,Hispanic,English,Pretrial,Jail Inmate,Single,1,1987,0
Male,Hispanic,English,Pretrial,Jail Inmate,Single,1,1987,1
Male,Hispanic,English,Pretrial,Jail Inmate,Single,1,1987,0
Female,African-American,English,Post Sentence,Probation,Single,1,1982,0
Female,African-American,English,Post Sentence,Probation,Single,1,1982,1
Female,African-American,English,Post Sentence,Probation,Single,1,1982,0
Male,African-American,English,Pretrial,Jail Inmate,Married,1,1973,0
Male,African-American,English,Pretrial,Jail Inmate,Married,1,1973,0
Male,African-American,English,Pretrial,Jail Inmate,Married,1,1973,0
Male,Caucasian,English,Pretrial,Jail Inmate,Married,1,2059,0
Male,Caucasian,English,Pretrial,Jail Inmate,Married,1,2059,0
Male,Caucasian,English,Pretrial,Jail Inmate,Married,1,2059,0
Male,Caucasian,English,Post Sentence,Probation,Divorced,1,2047,0
Male,Caucasian,English,Post Sentence,Probation,Divorced,1,2047,0
Male,Caucasian,English,Post Sentence,Probation,Divorced,1,2047,0
Male,African-American,English,Pretrial,Jail Inmate,Single,1,2062,0
Male,African-American,English,Pretrial,Jail Inmate,Single,1,2062,0
Male,African-American,English,Pretrial,Jail Inmate,Single,1,2062,0
Female,Caucasian,English,Pretrial,Pretrial Defendant,Single,1,1992,0
Female,Caucasian,English,Pretrial,Pretrial Defendant,Single,1,1992,0
Female,Caucasian,English,Pretrial,Pretrial Defendant,Single,1,1992,0
Male,Hispanic,English,Pretrial,Jail Inmate,Married,1,2070,0
Male,Hispanic,English,Pretrial,Jail Inmate,Married,1,2070,0
Male,Hispanic,English,Pretrial,Jail Inmate,Married,1,2070,0
Male,African-American,English,Pretrial,Jail Inmate,Single,2,1988,1
Male,African-American,English,Pretrial,Jail Inmate,Single,2,1988,1
Male,African-American,English,Pretrial,Jail Inmate,Single,2,1988,0
Male,African-American,English,Pretrial,Jail Inmate,Single,1,1990,0
Male,African-American,English,Pretrial,Jail Inmate,Single,1,1990,1
Male,African-American,English,Pretrial,Jail Inmate,Single,1,1990,0
Male,Caucasian,English,Pretrial,Jail Inmate,Married,1,2065,0
Male,Caucasian,English,Pretrial,Jail Inmate,Married,1,2065,0
Male,Caucasian,English,Pretrial,Jail Inmate,Married,1,2065,0
Male,African-American,English,Pretrial,Jail Inmate,Single,2,1991,1
Male,African-American,English,Pretrial,Jail Inmate,Single,2,1991,1
Male,African-American,English,Pretrial,Jail Inmate,Single,2,1991,0
Male,Caucasian,English,Pretrial,Pretrial Defendant,Single,1,1982,0
Male,Caucasian,English,Pretrial,Pretrial Defendant,Single,1,1982,0
Male,Caucasian,English,Pretrial,Pretrial Defendant,Single,1,1982,0
Male,African-American,English,Pretrial,Jail Inmate,Single,1,1991,0
Male,African-American,English,Pretrial,Jail Inmate,Single,1,1991,0
Male,African-American,English,Pretrial,Jail Inmate,Single,1,1991,0
Female,African-American,English,Post Sentence,Probation,Single,1,1985,0
Female,African-American,English,Post Sentence,Probation,Single,1,1985,1
Female,African-American,English,Post Sentence,Probation,Single,1,1985,0
Male,Other Race,English,Pretrial,Jail Inmate,Single,1,1987,0
Male,Other Race,English,Pretrial,Jail Inmate,Single,1,1987,0
Male,Other Race,English,Pretrial,Jail Inmate,Single,1,1987,0
Male,African-American,English,Post Sentence,Probation,Single,3,2063,0
Male,African-American,English,Post Sentence,Probation,Single,3,2063,2
Male,African-American,English,Post Sentence,Probation,Single,3,2063,2
Female,African-American,English,Other,Probation,Single,1,1987,0
Female,African-American,English,Other,Probation,Single,1,1987,0
Female,African-American,English,Other,Probation,Single,1,1987,0
Male,African-American,English,Pretrial,Jail Inmate,Single,4,1984,2
Male,African-American,English,Pretrial,Jail Inmate,Single,4,1984,2
Male,African-American,English,Pretrial,Jail Inmate,Single,4,1984,1
Male,Caucasian,English,Post Sentence,Probation,Single,2,1979,0
Male,Caucasian,English,Post Sentence,Probation,Single,2,1979,1
Male,Caucasian,English,Post Sentence,Probation,Single,2,1979,1
Female,Caucasian,English,Pretrial,Jail Inmate,Single,1,2055,0
Female,Caucasian,English,Pretrial,Jail Inmate,Single,1,2055,0
Female,Caucasian,English,Pretrial,Jail Inmate,Single,1,2055,2
Male,Caucasian,English,Pretrial,Pretrial Defendant,Single,3,1986,1
Male,Caucasian,English,Pretrial,Pretrial Defendant,Single,3,1986,2
Male,Caucasian,English,Pretrial,Pretrial Defendant,Single,3,1986,2
Male,African-American,English,Pretrial,Pretrial Defendant,Single,1,1990,0
Male,African-American,English,Pretrial,Pretrial Defendant,Single,1,1990,0
Male,African-American,English,Pretrial,Pretrial Defendant,Single,1,1990,0
Male,African-American,English,Pretrial,Jail Inmate,Single,3,1982,2
Male,African-American,English,Pretrial,Jail Inmate,Single,3,1982,1
Male,African-American,English,Pretrial,Jail Inmate,Single,3,1982,2
Male,Other Race,English,Post Sentence,Probation,Single,1,1981,0
Male,Other Race,English,Post Sentence,Probation,Single,1,1981,0
Male,Other Race,English,Post Sentence,Probation,Single,1,1981,0
Male,African-American,English,Pretrial,Jail Inmate,Single,1,1985,0
Male,African-American,English,Pretrial,Jail Inmate,Single,1,1985,1
Male,African-American,English,Pretrial,Jail Inmate,Single,1,1985,1
Female,Caucasian,English,Post Sentence,Probation,Single,2,1984,0
Female,Caucasian,English,Post Sentence,Probation,Single,2,1984,1
Female,Caucasian,English,Post Sentence,Probation,Single,2,1984,1
Male,African-American,English,Post Sentence,Probation,Single,2,1994,1
Male,African-American,English,Post Sentence,Probation,Single,2,1994,1
Male,African-American,English,Post Sentence,Probation,Single,2,1994,0
Male,Asian,English,Pretrial,Jail Inmate,Single,3,1987,1
Male,Asian,English,Pretrial,Jail Inmate,Single,3,1987,2
Male,Asian,English,Pretrial,Jail Inmate,Single,3,1987,1
Male,African-American,English,Pretrial,Jail Inmate,Single,1,2059,0
Male,African-American,English,Pretrial,Jail Inmate,Single,1,2059,0
Male,African-American,English,Pretrial,Jail Inmate,Single,1,2059,0
Male,Hispanic,English,Pretrial,Jail Inmate,Single,1,1987,0
Male,Hispanic,English,Pretrial,Jail Inmate,Single,1,1987,0
Male,Hispanic,English,Pretrial,Jail Inmate,Single,1,1987,0
Male,African-American,English,Pretrial,Jail Inmate,Single,2,1982,1
Male,African-American,English,Pretrial,Jail Inmate,Single,2,1982,1
Male,African-American,English,Pretrial,Jail Inmate,Single,2,1982,0
Male,Caucasian,English,Post Sentence,Probation,Single,1,2068,0
Male,Caucasian,English,Post Sentence,Probation,Single,1,2068,1
Male,Caucasian,English,Post Sentence,Probation,Single,1,2068,0
Male,African-American,English,Pretrial,Jail Inmate,Single,3,1988,1
Male,African-American,English,Pretrial,Jail Inmate,Single,3,1988,2
Male,African-American,English,Pretrial,Jail Inmate,Single,3,1988,0
Male,African-American,English,Pretrial,Jail Inmate,Single,1,1985,0
Male,African-American,English,Pretrial,Jail Inmate,Single,1,1985,1
Male,African-American,English,Pretrial,Jail Inmate,Single,1,1985,0
Male,Caucasian,English,Post Sentence,Probation,Single,1,2064,0
Male,Caucasian,English,Post Sentence,Probation,Single,1,2064,0
Male,Caucasian,English,Post Sentence,Probation,Single,1,2064,1
Male,African-American,English,Pretrial,Jail Inmate,Single,3,2067,0
Male,African-American,English,Pretrial,Jail Inmate,Single,3,2067,2
Male,African-American,English,Pretrial,Jail Inmate,Single,3,2067,2
Male,Caucasian,English,Pretrial,Jail Inmate,Married,1,1983,0
Male,Caucasian,English,Pretrial,Jail Inmate,Married,1,1983,1
Male,Caucasian,English,Pretrial,Jail Inmate,Married,1,1983,1
Male,Caucasian,English,Pretrial,Jail Inmate,Single,3,1975,1
Male,Caucasian,English,Pretrial,Jail Inmate,Single,3,1975,2
Male,Caucasian,English,Pretrial,Jail Inmate,Single,3,1975,1
Male,Other Race,English,Pretrial,Jail Inmate,Single,2,1994,1
Male,Other Race,English,Pretrial,Jail Inmate,Single,2,1994,0
Male,Other Race,English,Pretrial,Jail Inmate,Single,2,1994,0
Male,African-American,English,Pretrial,Jail Inmate,Single,1,1990,1
Male,African-American,English,Pretrial,Jail Inmate,Single,1,1990,0
Male,African-American,English,Pretrial,Jail Inmate,Single,1,1990,0
Male,African-American,English,Pretrial,Jail Inmate,Single,2,1989,0
Male,African-American,English,Pretrial,Jail Inmate,Single,2,1989,1
Male,African-American,English,Pretrial,Jail Inmate,Single,2,1989,0
Male,Hispanic,English,Post Sentence,Probation,Single,1,1982,0
Male,Hispanic,English,Post Sentence,Probation,Single,1,1982,0
Male,Hispanic,English,Post Sentence,Probation,Single,1,1982,0
Male,African-American,English,Post Sentence,Probation,Single,1,1981,0
Male,African-American,English,Post Sentence,Probation,Single,1,1981,0
Male,African-American,English,Post Sentence,Probation,Single,1,1981,0
Female,Hispanic,Spanish,Other,Probation,Married,1,1980,0
Female,Hispanic,Spanish,Other,Probation,Married,1,1980,0
Female,Hispanic,Spanish,Other,Probation,Married,1,1980,0
Male,African-American,English,Conditional Release,Probation,Single,1,1991,0
Male,African-American,English,Conditional Release,Probation,Single,1,1991,0
Male,African-American,English,Conditional Release,Probation,Single,1,1991,0
Male,African-American,English,Pretrial,Pretrial Defendant,Single,2,2044,0
Male,African-American,English,Pretrial,Pretrial Defendant,Single,2,2044,1
Male,African-American,English,Pretrial,Pretrial Defendant,Single,2,2044,2
Male,Caucasian,English,Pretrial,Jail Inmate,Divorced,2,2060,0
Male,Caucasian,English,Pretrial,Jail Inmate,Divorced,2,2060,1
Male,Caucasian,English,Pretrial,Jail Inmate,Divorced,2,2060,2
Male,African-American,English,Pretrial,Jail Inmate,Married,1,2059,0
Male,African-American,English,Pretrial,Jail Inmate,Married,1,2059,0
Male,African-American,English,Pretrial,Jail Inmate,Married,1,2059,1
Male,African-American,English,Pretrial,Jail Inmate,Single,4,1986,2
Male,African-American,English,Pretrial,Jail Inmate,Single,4,1986,2
Male,African-American,English,Pretrial,Jail Inmate,Single,4,1986,1
Male,Caucasian,English,Pretrial,Jail Inmate,Single,2,1986,0
Male,Caucasian,English,Pretrial,Jail Inmate,Single,2,1986,1
Male,Caucasian,English,Pretrial,Jail Inmate,Single,2,1986,0
Male,African-American,English,Pretrial,Jail Inmate,Single,3,1991,1
Male,African-American,English,Pretrial,Jail Inmate,Single,3,1991,2
Male,African-American,English,Pretrial,Jail Inmate,Single,3,1991,0
Male,Hispanic,English,Other,Probation,Separated,1,2064,0
Male,Hispanic,English,Other,Probation,Separated,1,2064,0
Male,Hispanic,English,Other,Probation,Separated,1,2064,0
Male,Caucasian,English,Pretrial,Jail Inmate,Divorced,1,2062,0
Male,Caucasian,English,Pretrial,Jail Inmate,Divorced,1,2062,0
Male,Caucasian,English,Pretrial,Jail Inmate,Divorced,1,2062,0
Male,African-American,English,Pretrial,Jail Inmate,Single,3,1992,1
Male,African-American,English,Pretrial,Jail Inmate,Single,3,1992,2
Male,African-American,English,Pretrial,Jail Inmate,Single,3,1992,0
Male,African-American,English,Pretrial,Jail Inmate,Single,3,1992,1
Male,African-American,English,Pretrial,Jail Inmate,Single,3,1992,2
Male,African-American,English,Pretrial,Jail Inmate,Single,3,1992,0
Male,African-American,English,Post Sentence,Probation,Single,1,2068,0
Male,African-American,English,Post Sentence,Probation,Single,1,2068,0
Male,African-American,English,Post Sentence,Probation,Single,1,2068,0
Male,African-American,English,Post Sentence,Probation,Single,2,1986,1
Male,African-American,English,Post Sentence,Probation,Single,2,1986,1
Male,African-American,English,Post Sentence,Probation,Single,2,1986,0
Male,Caucasian,English,Pretrial,Jail Inmate,Single,2,1993,1
Male,Caucasian,English,Pretrial,Jail Inmate,Single,2,1993,1
Male,Caucasian,English,Pretrial,Jail Inmate,Single,2,1993,0
Male,Caucasian,English,Pretrial,Jail Inmate,Married,1,2054,0
Male,Caucasian,English,Pretrial,Jail Inmate,Married,1,2054,0
Male,Caucasian,English,Pretrial,Jail Inmate,Married,1,2054,0
Male,African-American,English,Pretrial,Jail Inmate,Divorced,4,1991,2
Male,African-American,English,Pretrial,Jail Inmate,Divorced,4,1991,2
Male,African-American,English,Pretrial,Jail Inmate,Divorced,4,1991,0
Male,African-American,English,Post Sentence,Residential Program,Single,4,1992,2
Male,African-American,English,Post Sentence,Residential Program,Single,4,1992,2
Male,African-American,English,Post Sentence,Residential Program,Single,4,1992,0
Male,Hispanic,English,Pretrial,Jail Inmate,Single,2,1990,1
Male,Hispanic,English,Pretrial,Jail Inmate,Single,2,1990,1
Male,Hispanic,English,Pretrial,Jail Inmate,Single,2,1990,0
Male,Caucasian,English,Pretrial,Jail Inmate,Single,1,1991,0
Male,Caucasian,English,Pretrial,Jail Inmate,Single,1,1991,1
Male,Caucasian,English,Pretrial,Jail Inmate,Single,1,1991,0
Male,African-American,English,Pretrial,Pretrial Defendant,Single,2,1984,1
Male,African-American,English,Pretrial,Pretrial Defendant,Single,2,1984,1
Male,African-American,English,Pretrial,Pretrial Defendant,Single,2,1984,0
Male,African-American,English,Pretrial,Jail Inmate,Single,2,1990,1
Male,African-American,English,Pretrial,Jail Inmate,Single,2,1990,1
Male,African-American,English,Pretrial,Jail Inmate,Single,2,1990,0
Male,African-American,English,Pretrial,Jail Inmate,Married,1,2067,0
Male,African-American,English,Pretrial,Jail Inmate,Married,1,2067,0
Male,African-American,English,Pretrial,Jail Inmate,Married,1,2067,1
Male,African-American,English,Post Sentence,Probation,Single,1,1985,0
Male,African-American,English,Post Sentence,Probation,Single,1,1985,0
Male,African-American,English,Post Sentence,Probation,Single,1,1985,0
Male,Hispanic,English,Post Sentence,Probation,Single,1,1990,0
Male,Hispanic,English,Post Sentence,Probation,Single,1,1990,0
Male,Hispanic,English,Post Sentence,Probation,Single,1,1990,0
Male,African-American,English,Other,Probation,Single,1,1987,0
Male,African-American,English,Other,Probation,Single,1,1987,0
Male,African-American,English,Other,Probation,Single,1,1987,1
Male,African-American,English,Pretrial,Jail Inmate,Single,2,1986,1
Male,African-American,English,Pretrial,Jail Inmate,Single,2,1986,1
Male,African-American,English,Pretrial,Jail Inmate,Single,2,1986,0
Male,African-American,English,Pretrial,Jail Inmate,Single,1,1988,0
Male,African-American,English,Pretrial,Jail Inmate,Single,1,1988,1
Male,African-American,English,Pretrial,Jail Inmate,Single,1,1988,0
Male,Caucasian,English,Pretrial,Jail Inmate,Single,2,1977,0
Male,Caucasian,English,Pretrial,Jail Inmate,Single,2,1977,1
Male,Caucasian,English,Pretrial,Jail Inmate,Single,2,1977,0
Female,Hispanic,English,Post Sentence,Probation,Single,1,1988,0
Female,Hispanic,English,Post Sentence,Probation,Single,1,1988,0
Female,Hispanic,English,Post Sentence,Probation,Single,1,1988,0
Female,Caucasian,English,Post Sentence,Probation,Single,1,2064,0
Female,Caucasian,English,Post Sentence,Probation,Single,1,2064,1
Female,Caucasian,English,Post Sentence,Probation,Single,1,2064,0
Female,African-American,English,Pretrial,Jail Inmate,Single,2,1983,1
Female,African-American,English,Pretrial,Jail Inmate,Single,2,1983,1
Female,African-American,English,Pretrial,Jail Inmate,Single,2,1983,0
Male,African-American,English,Pretrial,Jail Inmate,Significant Other,3,1984,1
Male,African-American,English,Pretrial,Jail Inmate,Significant Other,3,1984,2
Male,African-American,English,Pretrial,Jail Inmate,Significant Other,3,1984,1
Male,African-American,English,Pretrial,Jail Inmate,Single,2,1992,1
Male,African-American,English,Pretrial,Jail Inmate,Single,2,1992,1
Male,African-American,English,Pretrial,Jail Inmate,Single,2,1992,2
Male,Other Race,English,Pretrial,Jail Inmate,Single,3,1985,0
Male,Other Race,English,Pretrial,Jail Inmate,Single,3,1985,2
Male,Other Race,English,Pretrial,Jail Inmate,Single,3,1985,1
Male,African-American,English,Pretrial,Jail Inmate,Single,1,1993,1
Male,African-American,English,Pretrial,Jail Inmate,Single,1,1993,0
Male,African-American,English,Pretrial,Jail Inmate,Single,1,1993,0
Male,African-American,English,Pretrial,Jail Inmate,Single,1,1979,1
Male,African-American,English,Pretrial,Jail Inmate,Single,1,1979,1
Male,African-American,English,Pretrial,Jail Inmate,Single,1,1979,0
Male,African-American,English,Pretrial,Jail Inmate,Single,3,1981,1
Male,African-American,English,Pretrial,Jail Inmate,Single,3,1981,2
Male,African-American,English,Pretrial,Jail Inmate,Single,3,1981,0
Female,Caucasian,English,Pretrial,Jail Inmate,Single,2,1994,1
Female,Caucasian,English,Pretrial,Jail Inmate,Single,2,1994,1
